original_title,genre_names,budget,popularity,release_date,revenue,runtime,vote_average,vote_count,keyword_names
Avatar,"Action, Adventure, Fantasy, Science Fiction",237000000,150.437577,2009-12-10,2787965087,162.0,7.2,11800,"culture clash, future, space war, space colony, society, space travel, futuristic, romance, space, alien, tribe, alien planet, cgi, marine, soldier, battle, love affair, anti war, power relations, mind and soul, 3d"
Pirates of the Caribbean: At World's End,"Adventure, Fantasy, Action",300000000,139.082615,2007-05-19,961000000,169.0,6.9,4500,"ocean, drug abuse, exotic island, east india trading company, love of one's life, traitor, shipwreck, strong woman, ship, alliance, calypso, afterlife, fighter, pirate, swashbuckler, aftercreditsstinger"
Spectre,"Action, Adventure, Crime",245000000,107.376788,2015-10-26,880674609,148.0,6.3,4466,"spy, based on novel, secret agent, sequel, mi6, british secret service, united kingdom"
The Dark Knight Rises,"Action, Crime, Drama, Thriller",250000000,112.31295,2012-07-16,1084939099,165.0,7.6,9106,"dc comics, crime fighter, terrorist, secret identity, burglar, hostage drama, time bomb, gotham city, vigilante, cover-up, superhero, villainess, tragic hero, terrorism, destruction, catwoman, cat burglar, imax, flood, criminal underworld, batman"
John Carter,"Action, Adventure, Science Fiction",260000000,43.926995,2012-03-07,284139100,132.0,6.1,2124,"based on novel, mars, medallion, space travel, princess, alien, steampunk, martian, escape, edgar rice burroughs, alien race, superhuman strength, mars civilization, sword and planet, 19th century, 3d"
Spider-Man 3,"Fantasy, Action, Adventure",258000000,115.699814,2007-05-01,890871626,139.0,5.9,3576,"dual identity, amnesia, sandstorm, love of one's life, forgiveness, spider, wretch, death of a friend, egomania, sand, narcism, hostility, marvel comic, sequel, superhero, revenge"
Tangled,"Animation, Family",260000000,48.681969,2010-11-24,591794936,100.0,7.4,3330,"hostage, magic, horse, fairy tale, musical, princess, animation, tower, blonde woman, selfishness, healing power, based on fairy tale, duringcreditsstinger, healing gift, animal sidekick"
Avengers: Age of Ultron,"Action, Adventure, Science Fiction",280000000,134.279229,2015-04-22,1405403694,141.0,7.3,6767,"marvel comic, sequel, superhero, based on comic book, vision, superhero team, duringcreditsstinger, marvel cinematic universe, 3d"
Harry Potter and the Half-Blood Prince,"Adventure, Fantasy, Family",250000000,98.885637,2009-07-07,933959197,153.0,7.4,5293,"witch, magic, broom, school of witchcraft, wizardry, apparition, teenage crush, werewolf"
Batman v Superman: Dawn of Justice,"Action, Adventure, Fantasy",250000000,155.790452,2016-03-23,873260194,151.0,5.7,7004,"dc comics, vigilante, superhero, based on comic book, revenge, super powers, clark kent, bruce wayne, dc extended universe"
Superman Returns,"Adventure, Fantasy, Action, Science Fiction",270000000,57.925623,2006-06-28,391081192,154.0,5.4,1400,"saving the world, dc comics, invulnerability, sequel, superhero, based on comic book, kryptonite, super powers, superhuman strength, lex luthor"
Quantum of Solace,"Adventure, Action, Thriller, Crime",200000000,107.928811,2008-10-30,586090727,106.0,6.1,2965,"killing, undercover, secret agent, british secret service"
Pirates of the Caribbean: Dead Man's Chest,"Adventure, Fantasy, Action",200000000,145.847379,2006-06-20,1065659812,151.0,7.0,5246,"witch, fortune teller, bondage, exotic island, monster, captain, card game, east india trading company, compass, ship, daughter, pirate, swashbuckler, aftercreditsstinger"
The Lone Ranger,"Action, Adventure, Western",255000000,49.046956,2013-07-03,89289910,149.0,5.9,2311,"texas, horse, survivor, texas ranger, partner, outlaw, escape, lawyer, train, lone ranger, comanche, the lone ranger, tonto"
Man of Steel,"Action, Adventure, Fantasy, Science Fiction",225000000,99.398009,2013-06-12,662845518,143.0,6.5,6359,"saving the world, dc comics, superhero, based on comic book, superhuman, alien invasion, reboot, super powers, dc extended universe"
The Chronicles of Narnia: Prince Caspian,"Adventure, Family, Fantasy",225000000,53.978602,2008-05-15,419651413,150.0,6.3,1630,"based on novel, fictional place, brother sister relationship, lion, human being, wretch, leap in time, matter of life and death, faith, uncle, narnia, fantasy world"
The Avengers,"Science Fiction, Action, Adventure",220000000,144.448633,2012-04-25,1519557910,143.0,7.4,11776,"new york, shield, marvel comic, superhero, based on comic book, alien invasion, superhero team, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe"
Pirates of the Caribbean: On Stranger Tides,"Adventure, Action, Fantasy",380000000,135.413856,2011-05-14,1045713802,136.0,6.4,4948,"sea, captain, mutiny, sword, prime minister, sailing, silver, ship, duke, mermaid, pirate, soldier, battle, swashbuckler, aftercreditsstinger, 3d"
Men in Black 3,"Action, Comedy, Science Fiction",225000000,52.035179,2012-05-23,624026776,106.0,6.2,4160,"time travel, time machine, alien, fictional government agency, seeing the future, changing history"
The Hobbit: The Battle of the Five Armies,"Action, Adventure, Fantasy",250000000,120.965743,2014-12-10,956019788,144.0,7.1,4760,"corruption, elves, dwarves, orcs, middle-earth (tolkien), hobbit, dragon, battle, unlikely friendship, epic battle, sword and sorcery"
The Amazing Spider-Man,"Action, Adventure, Fantasy",215000000,89.866276,2012-06-27,752215857,136.0,6.5,6586,"loss of father, vigilante, serum, marvel comic, scientific experiment, spider bite, masked vigilante, reboot, super powers, genetic engineering, social outcast, duringcreditsstinger"
Robin Hood,"Action, Adventure",200000000,37.668301,2010-05-12,310669540,140.0,6.2,1398,"robin hood, archer, knight, sherwood forest, bow and arrow, middle ages, medieval, king of england"
The Hobbit: The Desolation of Smaug,"Adventure, Fantasy",250000000,94.370564,2013-12-11,958400000,161.0,7.6,4524,"elves, dwarves, orcs, hobbit, dragon, wizard, sword and sorcery"
The Golden Compass,"Adventure, Fantasy",180000000,42.990906,2007-12-04,372234864,113.0,5.8,1303,"england, compass, experiment, lordship, uncle, polar bear, orphan, animal, based on young adult novel"
King Kong,"Adventure, Drama, Action",207000000,61.22601,2005-12-14,550000000,187.0,6.6,2337,"film business, screenplay, show business, film making, film producer, exotic island, monster, indigenous, ship, dinosaur"
Titanic,"Drama, Romance, Thriller",200000000,100.025899,1997-11-18,1845034188,194.0,7.5,7562,"shipwreck, iceberg, ship, panic, titanic, ocean liner, epic, rich woman - poor man, love, disaster, tragic love, class differences, imax, star crossed lovers, steerage, salvage, rich snob, 3d, 1910s"
Captain America: Civil War,"Adventure, Action, Science Fiction",250000000,198.372395,2016-04-27,1153304495,147.0,7.1,7241,"civil war, war, marvel comic, sequel, superhero, based on comic book, imax, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d"
Battleship,"Thriller, Action, Adventure, Science Fiction",209000000,64.928382,2012-04-11,303025485,131.0,5.5,2114,"fight, u.s. navy, mind reading, hong kong, soccer, scientist, fictional war, naval, armada, battleship, naval combat, jds myoko, lost communication, taser, buoy, communications expert, joint chiefs of staff, crash landing, jet fighter pilot, navy lieutenant, permission to marry, uss john paul jones, based on board game, aftercreditsstinger, mighty mo, uss missouri"
Jurassic World,"Action, Adventure, Science Fiction, Thriller",150000000,418.708552,2015-06-09,1513528810,124.0,6.5,8662,"monster, dna, tyrannosaurus rex, velociraptor, island, sequel, suspense, disaster, escape, dinosaur, amusement park, animal attack, theme park, jurassic park, 3d, animal horror"
Skyfall,"Action, Adventure, Thriller",200000000,93.004993,2012-10-25,1108561013,143.0,6.9,7604,"spy, secret agent, sociopath, killer, art gallery, british secret service, istanbul turkey, imax, uzi, booby trap, impersonating a police officer, macao"
Spider-Man 2,"Action, Adventure, Fantasy",200000000,35.149586,2004-06-25,783766341,127.0,6.7,4321,"dual identity, love of one's life, pizza boy, marvel comic, sequel, superhero, doctor, scientist, tentacle, death, super villain"
Iron Man 3,"Action, Adventure, Science Fiction",200000000,77.68208,2013-04-18,1215439994,130.0,6.8,8806,"terrorist, war on terror, tennessee, malibu, marvel comic, superhero, based on comic book, tony stark, iron man, aftercreditsstinger, marvel cinematic universe, mandarin, 3d, war machine, iron patriot, extremis"
Alice in Wonderland,"Family, Fantasy, Adventure",200000000,78.530105,2010-03-03,1025491110,108.0,6.4,4645,"based on novel, fictional place, queen, fantasy, alice in wonderland, fantasy world, 3d"
X-Men: The Last Stand,"Adventure, Action, Science Fiction, Thriller",210000000,3.857526,2006-05-24,459359555,104.0,6.3,3525,"mutant, marvel comic, based on comic book, superhuman, beast, cyclops, aftercreditsstinger"
Monsters University,"Animation, Family",200000000,89.186492,2013-06-20,743559607,104.0,7.0,3528,"monster, dormitory, games, animation, best friend, university, scary, aftercreditsstinger"
Transformers: Revenge of the Fallen,"Science Fiction, Action, Adventure",150000000,21.939663,2009-06-19,836297228,150.0,6.0,3138,"egypt, sun, chaos, symbol, artifact, transformers, tank, robot, imax, duringcreditsstinger"
Transformers: Age of Extinction,"Science Fiction, Action, Adventure",210000000,116.840296,2014-06-25,1091405097,165.0,5.8,3095,"sequel, alien, transformers, giant robot, robot, imax, transforming robot"
